pygame 2.6.1 (SDL 2.28.4, Python 3.12.6)
Hello from the pygame community. https://www.pygame.org/contribute.html

=== POWER PELLET EATEN! ===
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=260
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=260
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=260
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=259
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=259
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=259
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=259
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=258
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=258
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=258
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=258
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=257
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=257
  inky: after update -> pos=(-1,33), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=257
  clyde: after update -> pos=(26,29), mode=frightened, in_house=False, eaten=False, dir=(25, 29), speed=1.0, fright_timer=257
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=256
  pinky: after update -> pos=(21,22), mode=frightened, in_house=False, eaten=False, dir=(21, 23), speed=1.0, fright_timer=256
